Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/__init__.py:1(<module>)
      104    0.000    0.000    0.024    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_compile.py:783(compile)
       89    0.000    0.000    0.024    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:969(__init__)
       88    0.006    0.000    0.024    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:996(setup_class)
357877/356810    0.022    0.000    0.023    0.000 {built-in method builtins.len}
      231    0.000    0.000    0.023    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/re.py:249(compile)
       10    0.000    0.000    0.023    0.002 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/_subplots.py:932(_init_subplot_xy)
        1    0.000    0.000    0.023    0.023 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/oinspect.py:1(<module>)
        1    0.000    0.000    0.022    0.022 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/imports.py:1(<module>)
     2092    0.002    0.000    0.021    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:3832(product)
1540/1414    0.003    0.000    0.021    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:306(inner)
5942/5886    0.001    0.000    0.021    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.021    0.021 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/output/__init__.py:1(<module>)
     4100    0.021    0.000    0.021    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/utils/state_name.py:41(<dictcomp>)
        1    0.000    0.000    0.021    0.021 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/key_binding/defaults.py:1(<module>)
        5    0.000    0.000    0.020    0.004 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/helpers.py:1(add_o2sat_normal_range_line)
        5    0.000    0.000    0.020    0.004 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/graph_objs/_figure.py:22639(add_shape)
        6    0.000    0.000    0.020    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/base.py:117(_prune_bayesian_model)
     4100    0.020    0.000    0.020    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/utils/state_name.py:44(<dictcomp>)
     2188    0.002    0.000    0.020    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2979(prod)
        1    0.000    0.000    0.019    0.019 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/output/base.py:1(<module>)
     6964    0.003    0.000    0.019    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:1810(_str_to_dict_path)
       16    0.001    0.000    0.019    0.001 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/models/helpers.py:97(__init__)
      472    0.001    0.000    0.019    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5170(_set_prop)
  876/694    0.001    0.000    0.019    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:4753(__contains__)
